City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
59,Chuy,UY,2021-05-23 16:49:16,-33.6971,-53.4616,59.77,81,80,18.1
60,Camacha,PT,2021-05-23 16:49:17,33.0833,-16.3333,66.52,49,40,18.41
61,Victoria,HK,2021-05-23 16:44:32,22.2855,114.1577,87.33,81,82,7.0
62,Alta Floresta,BR,2021-05-23 16:49:17,-9.8756,-56.0861,86.95,63,88,2.42
63,Cape Town,ZA,2021-05-23 16:49:15,-33.9258,18.4232,68.41,41,0,7.16
64,Mareeba,AU,2021-05-23 16:49:17,-17.0,145.4333,66.92,99,42,2.55
65,Cherskiy,RU,2021-05-23 16:49:18,68.75,161.3,34.5,72,25,2.39
66,Cayenne,GF,2021-05-23 16:49:18,4.9333,-52.3333,77.09,90,75,1.01
67,Berlevag,NO,2021-05-23 16:49:18,70.8578,29.0864,39.2,62,43,1.16
68,Darnah,LY,2021-05-23 16:49:18,32.767,22.6367,67.89,66,0,11.61
69,Constitucion,CL,2021-05-23 16:48:07,-35.3333,-72.4167,59.88,55,2,11.41
70,Twentynine Palms,US,2021-05-23 16:49:19,34.1356,-116.0542,71.47,23,0,1.99
71,Lompoc,US,2021-05-23 16:47:31,34.6391,-120.4579,67.57,82,90,6.91
72,Launceston,AU,2021-05-23 16:49:20,-41.45,147.1667,40.15,87,40,0.51
73,Salalah,OM,2021-05-23 16:49:20,17.0151,54.0924,84.29,84,40,10.36
74,Butaritari,KI,2021-05-23 16:49:21,3.0707,172.7902,82.11,81,100,16.31
75,Bull Savanna,JM,2021-05-23 16:49:21,17.8868,-77.5902,84.65,58,96,15.7
76,Dikson,RU,2021-05-23 16:49:21,73.5069,80.5464,31.53,96,100,15.95
77,Kodiak,US,2021-05-23 16:49:21,57.79,-152.4072,44.11,70,1,4.61
78,Pisco,PE,2021-05-23 16:49:22,-13.7,-76.2167,67.01,77,90,5.75
79,Amuntai,ID,2021-05-23 16:49:22,-2.4177,115.2494,74.19,98,85,0.78
80,Sitka,US,2021-05-23 16:49:22,57.0531,-135.33,44.49,87,75,5.75
81,Mahebourg,MU,2021-05-23 16:49:23,-20.4081,57.7,73.69,83,75,8.05
82,Taoudenni,ML,2021-05-23 16:49:23,22.6783,-3.9836,110.05,9,0,1.66
