City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
161,Carnarvon,AU,-24.8667,113.6333,62.67,94,75,8.05,broken clouds
162,Micheweni,TZ,-4.9667,39.8333,76.48,79,33,9.4,scattered clouds
163,Sitka,US,57.0531,-135.33,49.89,71,90,8.05,overcast clouds
164,Sibolga,ID,1.7427,98.7792,77.11,90,30,3.29,scattered clouds
165,Yar-Sale,RU,66.8333,70.8333,49.75,92,100,14.85,light rain
166,Comodoro Rivadavia,AR,-45.8667,-67.5,49.86,32,0,16.11,clear sky
167,Porto Murtinho,BR,-21.6989,-57.8825,91.31,34,100,10.67,overcast clouds
168,Arlit,NE,18.7369,7.3853,108.19,4,40,16.58,scattered clouds
169,Aksarka,RU,66.5606,67.7975,47.28,72,98,15.19,overcast clouds
170,Evensk,RU,61.95,159.2333,39.63,81,100,3.69,overcast clouds
171,Palmer,US,42.1584,-72.3287,48.38,81,100,1.99,light rain
172,Vidim,RU,56.4088,103.1106,33.1,73,96,2.13,overcast clouds
173,Longyearbyen,SJ,78.2186,15.6401,35.44,69,75,9.22,broken clouds
174,Metro,ID,-5.1131,105.3067,75.67,91,100,4.21,moderate rain
175,Funtua,NG,11.5233,7.3081,95.56,20,99,7.43,overcast clouds
176,Betanzos,ES,43.2804,-8.2147,75.81,74,0,1.99,clear sky
177,Thompson,CA,55.7435,-97.8558,60.96,48,75,10.36,broken clouds
178,Fountain,US,38.6822,-104.7008,79.59,34,40,6.67,scattered clouds
179,Fort Saint James,CA,54.4333,-124.25,53.91,47,82,3.24,broken clouds
180,Chuy,UY,-33.6971,-53.4616,57.83,57,45,17.47,scattered clouds
181,Oktyabrskiy,RU,54.4815,53.471,65.44,76,100,3.18,overcast clouds
182,Casa Nova,BR,-9.4167,-41.1333,87.78,27,25,11.52,scattered clouds
183,Mar Del Plata,AR,-38.0023,-57.5575,48.99,54,40,11.99,light rain
184,Kanniyakumari,IN,8.0833,77.5667,80.92,81,37,21.52,scattered clouds
185,Vostok,RU,46.4856,135.8833,43.81,90,100,2.26,overcast clouds
186,Myitkyina,MM,25.3833,97.4,79.34,80,89,2.64,overcast clouds
187,Rani,IN,25.3503,73.3089,94.03,28,18,7.7,few clouds
188,Kloulklubed,PW,7.0419,134.2556,81.1,88,100,12.35,very heavy rain
189,Beirut,LB,33.8889,35.4944,74.14,69,0,10.36,clear sky
190,Bingol,TR,38.8847,40.4939,64.47,43,13,6.26,few clouds
191,Rio Gallegos,AR,-51.6226,-69.2181,37.33,56,19,28.16,few clouds
192,Kavaratti,IN,10.5669,72.642,83.71,75,54,16.98,broken clouds
193,Port Augusta,AU,-32.5,137.7667,40.71,55,0,6.87,clear sky
194,Almunecar,ES,36.7339,-3.6907,97.72,75,91,0.76,overcast clouds
195,Mahebourg,MU,-20.4081,57.7,77.29,88,75,6.91,broken clouds
196,Callejones,HN,15.1667,-88.65,85.68,54,90,2.75,overcast clouds
197,Turbat,PK,26.0023,63.044,94.86,34,2,11.03,clear sky
198,Catamarca,AR,-28.4696,-65.7852,68.05,47,0,11.99,clear sky
199,Sidi Bin Nur,TN,35.5333,10.9167,71.51,60,73,11.65,broken clouds
200,Puerto Asis,CO,0.5133,-76.5007,83.97,72,24,1.32,few clouds
201,Zhigansk,RU,66.7697,123.3711,46.36,64,8,2.13,clear sky
202,Paamiut,GL,61.994,-49.6678,35.58,90,100,5.66,overcast clouds
203,Powell River,CA,49.8496,-124.5361,61.0,68,66,4.61,broken clouds
204,Ixtapa,MX,20.7,-105.2,90.05,48,100,6.29,overcast clouds
205,Uppsala,SE,60.0,17.75,60.24,41,8,4.34,clear sky
206,Bengkulu,ID,-3.8004,102.2655,75.7,88,100,4.92,light rain
207,Inhambane,MZ,-23.865,35.3833,69.85,80,0,4.41,clear sky
208,Le Port,RE,-20.9373,55.2919,71.6,76,1,3.56,clear sky
209,Phan Thiet,VN,10.9333,108.1,79.72,87,14,6.96,few clouds
210,Mindif,CM,10.3976,14.4363,101.32,18,99,8.05,overcast clouds
211,Kodiak,US,57.79,-152.4072,45.91,93,90,9.22,moderate rain
212,Botngard,NO,63.7653,9.8111,60.69,63,0,6.76,clear sky
213,Lagoa,PT,39.05,-27.9833,63.43,71,67,5.75,broken clouds
214,Jaisalmer,IN,26.9147,70.9181,96.76,32,0,21.34,clear sky
215,Geraldton,AU,-28.7667,114.6,64.13,67,40,14.65,light rain
216,Namibe,AO,-15.1961,12.1522,75.07,69,9,7.34,clear sky
217,Cayenne,GF,4.9333,-52.3333,86.04,81,75,1.99,broken clouds
218,Qena,EG,26.1615,32.7183,94.91,17,30,16.46,scattered clouds
219,Dutlwe,BW,-23.9833,23.9,62.13,23,7,9.64,clear sky
220,Barahona,DO,18.2085,-71.1008,84.97,62,6,11.34,clear sky
221,Komsomolskiy,UZ,40.4272,71.7189,83.62,24,100,9.22,overcast clouds
222,Ilheus,BR,-14.7889,-39.0494,81.34,63,79,5.91,broken clouds
223,Gat,IL,31.61,34.7642,76.82,35,0,7.49,clear sky
224,Osoyoos,CA,49.0331,-119.4524,66.99,30,2,2.13,clear sky
225,Hare Bay,CA,48.8499,-54.0148,54.19,44,64,12.84,broken clouds
226,Pamanukan,ID,-6.2842,107.8106,75.07,91,100,6.22,overcast clouds
227,Bardiyah,LY,31.7561,25.0865,75.58,50,6,6.76,clear sky
228,Meulaboh,ID,4.1363,96.1285,77.99,86,87,3.98,overcast clouds
229,Bollnas,SE,61.3482,16.3946,61.39,42,14,7.16,few clouds
230,Nanortalik,GL,60.1432,-45.2371,37.89,84,88,6.13,overcast clouds
231,Constitucion,CL,-35.3333,-72.4167,58.01,61,100,10.96,overcast clouds
232,Shima,CN,24.4478,117.8111,75.22,97,100,5.1,light rain
233,Dali,CN,25.7,100.1833,66.09,75,44,5.88,scattered clouds
234,Jardim,BR,-21.4803,-56.1381,93.43,26,100,12.06,overcast clouds
235,Whitianga,NZ,-36.8333,175.7,53.02,88,39,8.1,light rain
236,Monterey,US,36.2505,-121.2516,57.85,44,44,6.22,scattered clouds
237,Adrar,MR,20.5022,-10.0711,109.44,7,97,14.23,overcast clouds
238,Sarangani,PH,5.4033,125.4636,84.02,74,100,14.45,overcast clouds
239,Areia Branca,BR,-4.9561,-37.1369,90.63,47,28,14.38,scattered clouds
240,Balangir,IN,20.7167,83.4833,91.2,39,98,10.07,overcast clouds
241,Gorontalo,ID,0.5412,123.0595,75.79,94,93,0.85,overcast clouds
242,Kaitangata,NZ,-46.2817,169.8464,49.03,94,100,12.26,moderate rain
243,Darnah,LY,32.767,22.6367,71.98,57,41,8.77,scattered clouds
244,Booue,GA,-0.0921,11.9385,77.63,92,99,1.57,light rain
245,Lamar,US,33.6668,-95.5836,76.51,70,20,8.25,few clouds
246,Havre De Grace,US,39.5493,-76.0916,52.41,95,100,13.51,overcast clouds
