City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
421,Lixourion,GR,65.62,scattered clouds,38.2019,20.4314,Hotel Summery
423,Rabo De Peixe,PT,67.51,broken clouds,37.8,-25.5833,Quinta das Giestas
425,Palestine,PS,66.34,clear sky,31.9216,35.2033,Grand Park Hotel
427,Vila Franca Do Campo,PT,68.41,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
429,Vallenar,CL,83.46,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
431,Agadir,MA,77.45,overcast clouds,30.4202,-9.5982,Iberostar Founty Beach
438,Zhezkazgan,KZ,71.65,overcast clouds,47.8043,67.7144,Ul. Ranova 15-1 Kvartiry Posutochno.
439,Kandrian,PG,78.48,light rain,-6.2167,149.55,Kandrian Station
440,Varde,DK,65.55,clear sky,55.6211,8.4807,Arnbjerg Pavillonen
441,Kerema,PG,76.42,overcast clouds,-7.9631,145.7785,Frena Lodge
443,Harrogate,GB,67.35,scattered clouds,53.9908,-1.5373,Hotel du Vin Harrogate
444,Tabou,CI,82.44,light rain,4.423,-7.3528,hotêl doufoulougou
447,Lethem,GY,84.79,broken clouds,3.3803,-59.7968,Savannah Inn
449,Arica,CL,72.95,clear sky,-18.475,-70.3042,Hostal Jardin Del Sol
450,Ambulu,ID,75.85,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
454,Makueni,KE,65.05,overcast clouds,-1.8041,37.6203,WOTE TECHNICAL HOSTELS
458,Pimentel,PE,70.09,overcast clouds,-6.8367,-79.9342,Casona Del Muelle
461,Barranca,PE,68.04,overcast clouds,-10.75,-77.7667,El Olivar Hospedaje
462,Neiafu,TO,72.28,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
468,Oakham,GB,67.69,broken clouds,52.6667,-0.7333,The Admiral Hornblower
469,Roald,NO,72.16,clear sky,62.5833,6.1333,Flem Cabins
470,Harper,LR,82.47,broken clouds,4.375,-7.7169,Screensaver
472,Pokhara,NP,71.53,broken clouds,28.2333,83.9833,Butterfly Lodge
474,Vista Hermosa,MX,72.39,overcast clouds,19.5167,-99.2167,Krystal Satélite María Bárbara
476,Misratah,LY,72.43,scattered clouds,32.3754,15.0925,فندق الماسة
480,Along,IN,73.38,overcast clouds,28.1667,94.7667,Hotel West
483,San Clemente,US,72.84,broken clouds,33.427,-117.61200000000001,Casablanca Inn
490,Padang,ID,78.3,overcast clouds,-0.9492,100.3543,Mercure Padang
491,Ayame,CI,79.66,light rain,5.6083,-3.1563,Hotel Bossan
496,Surt,LY,72.99,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
501,Nanakuli,US,81.03,few clouds,21.3906,-158.1547,Camp Pālehua
502,Sarankhola,BD,82.99,scattered clouds,22.3082,89.7897,Md Mostafiz Mir Al Imran's House
503,Marsh Harbour,BS,79.5,clear sky,26.5412,-77.0636,Abaco Beach Resort
507,Saint-Pierre,RE,71.24,clear sky,-21.3393,55.4781,Lindsey Hôtel
508,Nichinan,JP,65.14,overcast clouds,31.6,131.3667,Guest House Aki
509,Laguna,US,82.44,scattered clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
516,Lakatoro,VU,72.9,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
517,Roswell,US,73.83,broken clouds,34.0232,-84.3616,La Quinta Inn & Suites by Wyndham Atlanta Roswell
519,Sao Jose Da Coroa Grande,BR,81.01,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
521,Faya,SA,71.71,overcast clouds,18.3851,42.4509,مقبرة ال مجمل
522,Tura,IN,78.24,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
523,Urumqi,CN,68.95,light rain,43.801,87.6005,Hua Ling Grand Hotel Urumqi
524,Alexandria,EG,75.16,clear sky,31.2156,29.9553,Royal Crown Hotel
525,Nan,TH,74.08,overcast clouds,18.8333,100.6667,สะเนียน2
526,Vila Do Maio,CV,79.59,scattered clouds,15.1333,-23.2167,Hotel Marilu
527,Chongwe,ZM,66.78,clear sky,-15.3292,28.682,Grakas Lodge
529,Nishihara,JP,69.85,heavy intensity rain,26.1842,127.7558,Minshuku Agaihama
531,Xam Nua,LA,70.48,overcast clouds,20.4197,104.0439,Xee Wang Guesthouse
532,Sabang,ID,83.28,moderate rain,5.8933,95.3214,Hotel Citra
534,Shimoda,JP,69.17,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
535,Tambura,SS,71.15,broken clouds,5.6,27.4667,Rikito Lodge
543,Fukue,JP,66.79,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
546,Derzhavinsk,KZ,69.62,scattered clouds,51.1,66.3167,Ooo.khim Baza
547,Omboue,GA,77.18,light rain,-1.5746,9.2618,Hotel Olako
550,Schaffhausen,CH,66.6,scattered clouds,47.6973,8.6349,Hohberg Burger- Pizza - Steakhouse & Hotel
552,Los Llanos De Aridane,ES,67.75,few clouds,28.6585,-17.9182,Valle Aridane
553,Manggar,ID,79.05,overcast clouds,-2.8833,108.2667,Guest Hotel
556,Dhidhdhoo,MV,83.62,broken clouds,6.8833,73.1,Dhidhoo beach
559,San Cristobal,VE,71.78,broken clouds,7.7669,-72.225,Posada Villaven C.A.
561,Itubera,BR,81.12,overcast clouds,-13.7322,-39.1492,Pousada Baixo Sul.
564,Kokoda,PG,72.19,overcast clouds,-8.8785,147.7407,Daito Guest House
566,Hambantota,LK,80.13,light rain,6.1241,81.1185,Bungalow 63
571,Escanaba,US,65.68,clear sky,45.7453,-87.0646,Sunset Lodge
573,Mayumba,GA,77.34,light rain,-3.432,10.6554,LIKWALE LODGE
575,Honjo,JP,67.57,broken clouds,36.2333,139.1833,Hotel Honjo
578,Springdale,US,65.03,overcast clouds,36.1867,-94.1288,Springdale Inn
585,Tautira,PF,78.82,broken clouds,-17.7333,-149.15,Pension Oaoa
587,Pacific Grove,US,68.58,broken clouds,36.6177,-121.9166,Lovers Point Inn
594,Perpignan,FR,77.43,broken clouds,42.75,2.75,Le moulin a huile de l'agly
595,Kapit,MY,74.43,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
597,Pangkalanbuun,ID,73.29,light rain,-2.6833,111.6167,Grand Kecubung Hotel
598,Hami,CN,82.27,broken clouds,42.8,93.45,Laoyutang Resort
599,North Bend,US,68.23,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
600,Lidkoping,SE,67.53,clear sky,58.5052,13.1577,Hotell Läckö - GRAND HOTEL
604,Kragujevac,RS,66.49,overcast clouds,44.0167,20.9167,Hotel Kragujevac
609,Pisco,PE,66.02,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
619,Tiarei,PF,78.82,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
620,Bitung,ID,77.85,overcast clouds,1.4451,125.1824,K2 Lembeh
621,Palafrugell,ES,70.56,broken clouds,41.9174,3.1631,Hotel La Torre de Calella de Palafrugell (OBRIM EL 14 DE MAIG)
622,Bozova,TR,76.12,scattered clouds,37.3625,38.5267,Bozova Öğretmen Evi
624,Fare,PF,79.41,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
626,Troyes,FR,70.14,clear sky,48.3333,4.0833,Logis Hôtel des Sources
629,Callaguip,PH,82.74,overcast clouds,18.0714,120.4867,Pangil Beach Resort
630,Portland,US,69.94,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
632,Salalah,OM,83.77,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
633,Jinxiang,CN,66.87,moderate rain,27.4327,120.6062,Wolong Village
635,Villars-Sur-Glane,CH,65.52,broken clouds,46.7905,7.1172,Hôtel de la Rose Fribourg
636,Hualmay,PE,68.7,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
638,Alor Setar,MY,80.58,moderate rain,6.121,100.3601,Starcity Hotel
641,Hornepayne,CA,66.94,clear sky,49.2138,-84.7705,Jackfish River Inn
643,Palembang,ID,74.73,overcast clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
652,Cabras,IT,66.61,clear sky,39.93,8.5314,Hotel Villa Canu
653,Grand-Santi,GF,80.98,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
655,Yinchuan,CN,73.11,broken clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
656,West Wendover,US,66.76,overcast clouds,40.7391,-114.0733,"Motel 6 Wendover, UT"
661,Kalat,PK,72.09,clear sky,29.0225,66.5916,PHE Rest House
663,Iba,PH,83.98,overcast clouds,15.3667,120.0333,Iba Highland Resort
664,Mixquiahuala,MX,79.38,broken clouds,20.2333,-99.2167,Hotel Galeana
667,Vangaindrano,MG,68.52,few clouds,-23.35,47.6,Hotel Fanilo
670,Zatoka,UA,66.74,scattered clouds,46.0725,30.4654,"База отдыха ""Солнечная"""
672,Sibolga,ID,76.62,scattered clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
675,Ca Mau,VN,78.58,scattered clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
677,Saint-Joseph,RE,70.16,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
679,Novoanninskiy,RU,67.86,clear sky,50.5287,42.6747,Sotnik
682,Kalmunai,LK,81.68,overcast clouds,7.4167,81.8167,VS Villa
